Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
1.0;Неизвестно;4600000;Реутов;ЖК «Гагарина 23А»;0.0;Балкон;Кирпичный;1.0;Отсутсвует;100.0
3.0;Неизвестно;12886845;Москва;ЖК «Лучи»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.4165
1.0;подземная;9732500;Москва;ЖК «Ясный»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.5
2.0;подземная;9939600;Москва;ЖК «Ясный»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.5
0.0;Неизвестно;6000000;Москва;ЖК «SREDA»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
3.0;Неизвестно;11500000;Москва;ЖК «SREDA»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;подземная;22197662;Москва;ЖК «Садовые кварталы»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;5640000;Ленинский;ЖК «Первый квартал»;1.0;Нет;Монолитный;1.0;Отсутсвует;3.25
1.0;Неизвестно;7682745;Москва;ЖК «Discovery»;2.0;Нет;Монолитный;0.0;Отсутсвует;0.5
4.0;Неизвестно;20749730;Москва;ЖК «Discovery»;2.0;Нет;Монолитный;1.0;Отсутсвует;0.5
2.0;подземная;19872077;Москва;ЖК «Сердце Столицы»;1.0;Балкон;Монолитный;1.0;Отсутсвует;0.5
1.0;Неизвестно;5200000;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;0.0;Отсутсвует;100.0
0.0;Неизвестно;7230000;Красногорск;ЖК «Пятницкие кварталы»;1.0;Балкон;Монолитно-кирпичный;0.0;Косметический;100.0
1.0;Неизвестно;9995000;Москва;ЖК «ЗИЛАРТ»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.75
3.0;Неизвестно;5950000;Красногорск;ЖК «Лесобережный»;0.0;Нет;Монолитный;1.0;Отсутсвует;4.25
1.0;Наземная;2500000;Мытищи;ЖК «Пироговская Ривьера»;1.0;Нет;Монолитный;0.0;Отсутсвует;4.5
1.0;Наземная;2850000;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;10.0
