Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
2.0;подземная;7073030;Москва;ЖК «Белая звезда»;1.0;Балкон;Монолитный;1.0;Отсутсвует;3.0
3.0;подземная;7799940;Москва;ЖК «Белая звезда»;1.0;Балкон;Монолитный;1.0;Отсутсвует;3.0
2.0;Неизвестно;11700000;Москва;ЖК «Хорошевский»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.75
2.0;подземная;6055000;Красногорск;ЖК «Рублевское предместье»;1.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
1.0;Неизвестно;2710780;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;8.25
1.0;Неизвестно;1790000;Щелково;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;6.25
0.0;Неизвестно;1500000;Богородский;ЖК «Купавино»;1.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
2.0;подземная;19900000;Москва;ЖК «ВТБ Арена парк»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.6664
1.0;Неизвестно;1510000;Раменский;ЖК «Солнечный (Вялковское с/пос)»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
2.0;Неизвестно;3973390;Лыткарино;ЖК «Центральный»;1.0;Балкон;Монолитный;1.0;Отсутсвует;100.0
1.0;подземная;13100000;Москва;ЖК «Утесов»;2.0;Нет;Монолитный;1.0;Отсутсвует;1.7493
2.0;подземная;4250000;Красногорский;ЖК «Красногорск Парк»;0.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
2.0;Неизвестно;3960945;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
2.0;Неизвестно;4172505;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;5.75
2.0;Неизвестно;4144470;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
1.0;Неизвестно;2931060;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;5.75
2.0;Неизвестно;4291800;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
1.0;Неизвестно;1800000;Солнечногорск;ЖК «Смирновка»;1.0;Нет;Монолитный;0.0;Отсутсвует;100.0
3.0;подземная;12800000;Красногорский;ЖК «Павшино-БЭСТ»;1.0;Балкон;Кирпичный;1.0;Отсутсвует;2.3324
1.0;подземная;2200000;Богородский;ЖК «Высокий берег»;1.0;Нет;Монолитный;0.0;Отсутсвует;100.0
3.0;подземная;6895000;Реутов;ЖК «Рациональ»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.833
1.0;Неизвестно;1800000;Солнечногорск;ЖК «Смирновка»;0.0;Нет;Неизвестно;0.0;Отсутсвует;100.0
2.0;Неизвестно;3900000;Раменский;ЖК «Родники»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
2.0;подземная;23000000;Москва;ЖК «Тихвинская 14»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;Неизвестно;1380000;Щелково;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;100.0
1.0;Наземная;990000;Раменский;ЖК «Ильинский дворик»;0.0;Нет;Неизвестно;0.0;Дизайнерский;100.0
2.0;Неизвестно;7500000;Москва;ЖК «Царицыно-2»;2.0;Нет;Монолитный;1.0;Отсутсвует;2.499
1.0;Неизвестно;1600000;Солнечногорск;ЖК «Смирновка»;1.0;Нет;Кирпичный;0.0;Отсутсвует;100.0
0.0;Неизвестно;4200000;Москва;ЖК «Марьино Град»;1.0;Нет;Кирпичный;0.0;Отсутсвует;0.0
1.0;Неизвестно;4162400;Истра;ЖК «Сказка»;0.0;Балкон;Кирпичный;0.0;Отсутсвует;100.0
2.0;Неизвестно;5171250;Истра;ЖК «Сказка»;0.0;Балкон;Кирпичный;1.0;Отсутсвует;100.0
1.0;Неизвестно;1980000;Щелково;ЖК «Восточная Европа»;0.0;Балкон;Монолитный;1.0;Отсутсвует;6.25
1.0;Неизвестно;1790000;Щелково;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;6.25
3.0;Неизвестно;4979000;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
2.0;Неизвестно;6300000;Красногорск;ЖК «Усово парк»;1.0;Балкон;Монолитный;1.0;Отсутсвует;7.5
3.0;подземная;16900000;Москва;ЖК «О7»;1.0;Нет;Монолитный;1.0;Отсутсвует;1.0
1.0;Неизвестно;4270250;Истра;ЖК «Сказка»;0.0;Балкон;Монолитный;0.0;Отсутсвует;6.25
1.0;Неизвестно;4257000;Истра;ЖК «Сказка»;0.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
2.0;Неизвестно;5141700;Истра;ЖК «Сказка»;0.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
2.0;Неизвестно;5171250;Истра;ЖК «Сказка»;0.0;Нет;Монолитный;1.0;Отсутсвует;100.0
2.0;Неизвестно;5633250;Истра;ЖК «Сказка»;0.0;Балкон;Монолитный;1.0;Отсутсвует;100.0
2.0;Неизвестно;6511950;Истра;ЖК «Сказка»;0.0;Нет;Монолитный;1.0;Отсутсвует;100.0
3.0;Неизвестно;4407500;Истра;ЖК «Павловский квартал»;0.0;Балкон;Кирпичный;1.0;Отсутсвует;100.0
3.0;Неизвестно;5132200;Истра;ЖК «Павловский квартал»;0.0;Балкон;Неизвестно;1.0;Отсутсвует;100.0
2.0;Неизвестно;3596005;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
3.0;Неизвестно;5500000;Одинцовский;ЖК «Спорт-Life»;1.0;Балкон;Монолитный;2.0;Отсутсвует;100.0
2.0;Неизвестно;3100000;Ступинский;ЖК «Новое Ступино»;0.0;Балкон;Монолитный;1.0;Отсутсвует;100.0
2.0;Неизвестно;6816000;Истра;ЖК «Сказка»;0.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
1.0;подземная;15500000;Москва;ЖК «Квартал 38А»;1.0;Нет;Монолитный;0.0;Отсутсвует;1.9992
2.0;подземная;21900000;Москва;ЖК «Квартал 38А»;1.0;Нет;Монолитный;1.0;Отсутсвует;1.9992
3.0;Неизвестно;4991450;Истра;ЖК «Павловский квартал»;0.0;Балкон;Кирпичный;1.0;Отсутсвует;100.0
3.0;Неизвестно;5376000;Истра;ЖК «Павловский квартал»;0.0;Балкон;Кирпичный;1.0;Отсутсвует;100.0
2.0;Неизвестно;14800000;Москва;Неизвестно;1.0;Нет;Неизвестно;2.0;Косметический;1.2495
2.0;подземная;24000000;Красногорский;ЖК «Парк Рублево»;1.0;Балкон;Кирпичный;2.0;Отсутсвует;0.833
2.0;подземная;24000000;Красногорский;ЖК «Парк Рублево»;1.0;Нет;Монолитный;2.0;Отсутсвует;1.4161
2.0;Неизвестно;3530000;Балашиха;ЖК «Дом в Федурново (МАРЗ)»;1.0;Балкон;Монолитный;1.0;Отсутсвует;3.75
2.0;Неизвестно;3845000;Балашиха;ЖК «Дом в Федурново (МАРЗ)»;1.0;Балкон;Монолитный;1.0;Отсутсвует;3.75
1.0;подземная;16293060;Москва;ЖК «IM на Садовом»;0.0;Нет;Монолитно-кирпичный;0.0;Отсутсвует;100.0
3.0;Неизвестно;4991490;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;5.75
4.0;Неизвестно;15300000;Москва;Неизвестно;1.0;Балкон;Панельный;1.0;Евроремонт;1.8326
2.0;Неизвестно;4238700;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
2.0;Неизвестно;5152500;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;0.0;Отсутсвует;100.0
1.0;Наземная;3250000;Ленинский;ЖК «Южная долина»;0.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
1.0;Неизвестно;2999590;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;0.0;Отсутсвует;5.75
3.0;Наземная;3700000;Рузский;ЖК «Дом на Парковой»;0.0;Нет;Панельный;1.0;Отсутсвует;100.0
2.0;Неизвестно;4600000;Красногорск;ЖК «Аристово-Митино»;0.0;Нет;Монолитный;0.0;Отсутсвует;100.0
2.0;Неизвестно;8490000;Москва;Неизвестно;0.0;Балкон;Кирпичный;1.0;Отсутсвует;1.2495
2.0;подземная;5405428;Балашихинский;ЖК «Молодёжный (Балашиха-1)»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
2.0;подземная;5077113;Балашихинский;ЖК «Молодёжный (Балашиха-1)»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
1.0;Неизвестно;2000000;Одинцовский;ЖК «Центральный»;0.0;Нет;Монолитный;1.0;Отсутсвует;12.75
1.0;подземная;3643228;Балашихинский;ЖК «Молодёжный (Балашиха-1)»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
1.0;подземная;3622357;Балашихинский;ЖК «Молодёжный (Балашиха-1)»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
4.0;Неизвестно;8799000;Балашихинский;ЖК «Молодёжный (Балашиха-1)»;0.0;Нет;Монолитный;2.0;Отсутсвует;100.0
1.0;подземная;3715491;Балашихинский;ЖК «Молодёжный (Балашиха-1)»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
1.0;подземная;3699230;Балашихинский;ЖК «Молодёжный (Балашиха-1)»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
1.0;Неизвестно;2381500;Балашиха;ЖК «Дом в Федурново (МАРЗ)»;1.0;Нет;Монолитный;0.0;Отсутсвует;3.75
0.0;Наземная;7100000;Одинцовский;ЖК «Sky Skolkovo»;1.0;Нет;Монолитный;0.0;Отсутсвует;3.75
2.0;подземная;11800000;Москва;ЖК «Vivaldi»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.4165
1.0;Неизвестно;2150000;Истринский;ЖК «Роза ветров»;4.0;Нет;Монолитный;0.0;Отсутсвует;100.0
3.0;подземная;33000000;Москва;Неизвестно;2.0;Балкон;Монолитный;2.0;Косметический;100.0
1.0;подземная;9321840;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9235680;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
2.0;подземная;14201880;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9282540;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9358500;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9555180;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9397560;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9529620;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9843000;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9859430;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10423600;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9962000;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
2.0;подземная;15487350;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
2.0;подземная;15010400;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10000340;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10584420;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10083420;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10217000;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9108220;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9188820;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
2.0;подземная;13576300;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
3.0;подземная;18441860;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;подземная;9600750;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9908760;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10662960;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10017250;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10138800;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
5.0;подземная;28264170;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
3.0;подземная;18978680;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;подземная;10254880;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
2.0;подземная;13572160;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
3.0;подземная;18541380;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;подземная;9163440;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9978900;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
3.0;подземная;19076820;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;подземная;10324900;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10150950;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;9929600;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10062280;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;подземная;10246900;Москва;ЖК «Маяковский»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
1.0;Неизвестно;4000000;Реутов;ЖК «Новокосино-2»;0.0;Нет;Кирпичный;0.0;Отсутсвует;0.833
2.0;Неизвестно;2300000;Щелковский;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;5.0
2.0;подземная;8116800;Химки;ЖК «на Ленинском проспекте»;2.0;Нет;Монолитный;1.0;Отсутсвует;2.0
1.0;подземная;24500000;Москва;ЖК «Суббота»;0.0;Нет;Монолитный;0.0;Отсутсвует;0.833
2.0;Неизвестно;4800000;Солнечногорск;ЖК «Уютный»;0.0;Балкон;Монолитный;1.0;Отсутсвует;100.0
2.0;подземная;4500000;Одинцовский;ЖК «Сосны Николина гора»;0.0;Нет;Кирпичный;1.0;Отсутсвует;7.5
1.0;Неизвестно;1450000;Богородский;ЖК «Купавино»;1.0;Нет;Монолитный;0.0;Отсутсвует;11.25
2.0;Неизвестно;3764880;Щелково;ЖК «Варежки»;0.0;Балкон;Кирпичный;1.0;Отсутсвует;8.25
1.0;Наземная;2690000;Балашихинский;ЖК «Квартал Европа»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.833
2.0;Неизвестно;5150400;Истра;ЖК «Сказка»;0.0;Балкон;Монолитный;1.0;Отсутсвует;100.0
1.0;Неизвестно;3108700;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;0.0;Отсутсвует;5.75
2.0;Неизвестно;15800000;Москва;ЖК «Волга»;0.0;Балкон;Монолитный;0.0;Отсутсвует;0.4998
3.0;Неизвестно;3200000;Щелковский;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;7.0
2.0;Неизвестно;2552000;Щелково;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;6.25
1.0;Наземная;4332020;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
1.0;Наземная;5313660;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
1.0;Наземная;4289340;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
0.0;Наземная;4332020;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
0.0;Наземная;4182640;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
0.0;Наземная;4139960;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
1.0;Наземная;4929540;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
1.0;Наземная;4524080;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
2.0;Наземная;6940000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
2.0;Наземная;6920000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
2.0;Наземная;5980000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
2.0;Наземная;6990000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
2.0;Наземная;7080000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
2.0;Наземная;6260000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
1.0;Наземная;4235990;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
2.0;Наземная;7430000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;8469400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
1.0;Наземная;4599837;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
1.0;Наземная;5186687;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;0.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9729000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;9776000;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;10973600;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;11031600;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;10851800;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;10602400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;11124400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
3.0;Наземная;15279400;Балашихинский;ЖК «28 микрорайон»;0.0;Балкон;Монолитный;1.0;Отсутсвует;3.25
1.0;подземная;2789760;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2872980;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2669040;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2844600;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2693460;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;3104049;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
2.0;подземная;4245600;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;1.0;Отсутсвует;12.75
1.0;подземная;3175920;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2794238;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2663100;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;3061230;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2846020;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;2676300;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
1.0;подземная;3023040;Пушкинский;ЖК «Зеленый Город»;1.0;Балкон;Монолитный;0.0;Отсутсвует;12.75
